movieId,title,genres
4294,5,Children|Fantasy|Musical
71057,9,Adventure|Animation|Sci-Fi
6658,10,Comedy|Romance
58293,10,Adventure|Romance|Thriller
1019,20,Adventure|Drama|Sci-Fi
62383,20,Action|Adventure|Sci-Fi
114066,20,Documentary|Drama|Musical
58803,21,Crime|Drama|Romance|Thriller
163981,31,Horror
101895,42,Drama
2188,54,Drama
1609,187,Drama|Thriller
51662,300,Action|Fantasy|War|IMAX
53953,1408,Drama|Horror|Thriller
5472,1776,Children|Drama|Musical
26359,1900,Drama|War
7104,1941,Comedy|War
4463,1969,Drama|War
2117,1984,Drama|Sci-Fi
72378,2012,Action|Drama|Sci-Fi|Thriller
27266,2046,Drama|Fantasy|Romance|Sci-Fi
44943,11-Sep,Documentary
69757,(500) Days of Summer,Comedy|Drama|Romance
57274,[REC],Drama|Horror|Thriller
157110,00 Schneider - Jagd auf Nihil Baxter,Comedy|Crime
139717,10 Cent Pistol,Crime|Thriller
152077,10 Cloverfield Lane,Thriller
49284,10 Items or Less,Comedy|Drama|Romance
2572,10 Things I Hate About You,Comedy|Romance
98230,10 Years,Comedy|Drama|Romance
7541,100 Girls,Comedy|Romance
168350,100 Streets,Drama
1367,101 Dalmatians,Adventure|Children|Comedy
2085,101 Dalmatians,Adventure|Animation|Children
121099,101 Dalmatians II Patch's London Adventure,Animation|Children
6344,101 Reykjavik,Comedy|Drama|Romance
3991,102 Dalmatians,Children|Comedy
55391,10th & Wolf,Crime|Drama|Thriller
27674,11 14,Comedy|Crime|Drama|Mystery|Thriller
7789,11'0901 - September 11,Drama
1203,12 Angry Men,Drama
77846,12 Angry Men,Crime|Drama
141816,12 Chairs,Adventure|Comedy
141844,12 Chairs,Adventure|Comedy
70361,12 Rounds,Action|Thriller
105844,12 Years a Slave,Drama
81562,127 Hours,Adventure|Drama|Thriller
86142,13 Assassins,Action
4792,13 Ghosts,Horror
7444,13 Going on 30,Comedy|Fantasy|Romance
138210,13 Hours,Drama
110286,13 Sins,Horror|Thriller
48872,13 Tzameti,Film-Noir|Thriller
164917,13th,Documentary
8905,1492 Conquest of Paradise,Adventure|Drama
4167,15 Minutes,Thriller
43936,16 Blocks,Crime|Thriller
68135,17 Again,Comedy|Drama
4462,18 Again!,Comedy|Fantasy
889,1-900,Drama|Romance
95744,2 Days in New York,Comedy
54796,2 Days in Paris,Comedy|Drama|Romance
999,2 Days in the Valley,Crime|Film-Noir
6383,2 Fast 2 Furious,Action|Crime|Thriller
103883,2 Guns,Action|Comedy|Crime
2492,20 Dates,Comedy|Romance
103107,20 Feet from Stardom,Documentary
5468,20 Million Miles to Earth,Sci-Fi
2504,200 Cigarettes,Comedy|Drama
924,2001 A Space Odyssey,Adventure|Drama|Sci-Fi
51498,2001 Maniacs,Comedy|Horror
2311,2010 The Year We Make Contact,Sci-Fi
179053,2048 Nowhere to Run,Sci-Fi|Thriller
100507,21 & Over,Comedy
6953,21 Grams,Crime|Drama|Mystery|Romance|Thriller
93510,21 Jump Street,Action|Comedy|Crime
52767,21 Up,Documentary
112138,22 Jump Street,Action|Comedy|Crime
5508,24 Hour Party People,Comedy|Drama|Musical
5954,25th Hour,Crime|Drama
56949,27 Dresses,Comedy|Romance
